,,,,,,,,,cm,,Month/day/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,μg C/g soil,umol/g soil or nmol/g soil/hr,,ug NH4-N/g soil        ,Scale 0-14,μg C/g soil,%,,,,,,g/cc,%,,,%,ugN/g soil,,,μg N/g soil,Ratio,,ug NH4-N/g soil,,Status,Project links,Timestamp,,,,,,,,,,,,,,,,,,,,,,decimal degrees,decimal degrees
Intake_number,primary_project,secondary_project,tertiary_project,sampling_round,land_ownership,old_SH_1,SH_1,barcode,depth_top ,depth_bottom ,date_sampled,island,treatment,site_number,current_land_use,years_under_current_land_use,most_previous_land_use,years_under_most_previous _land_use,additional_previous _land_use ,years_under_additional_previous _land_use,additional_previous_land_use_2,years_under_additional_previous_land_use_2,additional_previous_land_use_3,years_under_additional_previous_land_use_3,plot_name,plot_area,current_plant_cover,previous_crop_cover,fertilizer_type_1,fertilizer_rate_1,fertilizer_type_2,fertilizer_rate_2,fertilizer_type_3,fertilizer_rate_3,fertilizer_type_4,fertilizer_rate_4,fertilizer_type_5,fertilizer_rate_5,tillage,tillage_frequency,herbicide,pesticide,irrigation_type,additional_soil_cover,soil_series,mean_annual_precip,mean_annual_temp,management_category,PIAL_none,dist_level,order,great_group,suborder,minerals,texture,toc,co2_burst,beta_glucosidase,beta_glucosaminidase,pmn,ph,hwec,whc,wsa_mega,shs,cdf_factor1,cdf_factor2,cdf_factor3,bd,wsa_macro,weight_of_rocks_>2mm,volume_of_rocks_>2mm_mL,tn,tdn,din,don,hwen,c_n,doc_don,ammonium,assessment,status,hyperlinks,Last updated,scoring_function,scoring_date,,,,,,,,,,,,,,,,,source_metadata_row,source_project_database_row,source_workbook,latitude,longitude
38,Hannah Hubanks,,,,,2023-0141,2017-1,011-0281-2024-0058,0,15,11-21-20,Ant,,21,Pasture,30-40,,1881-1947,,,,,,,2-3,203.74,,Unmanaged forest,,,,,,,,,,,None,Other,Yes,Yes,None,"Mulch (woodchip, leaf litter, other organic material)",Kainaliu,,,Mixed conventional and organic cropland,None,,Mollisol,Haplustoll,Humult,PNCM,,4.06,,81.04,65.18,,7.39,2311.61,84.7,17.16200166,0.44,0.36,0.53,,,3.87333927,#N/A,1.50,0.14,#N/A,#N/A,,27.68,9.38,#N/A,4.08,,,#N/A,3/9/2022,scoring_function_noPIALv2,,94,,2907,,383,,1.02,,,,9.53,,,,,,,,,19.941088,-158.817228
554,CIG-2020,Round 1,,,,231,2017-2,008-0204-2023-0361,0,15,5/17/2023,Pohnpei,,17,Orchard,2019-curent,Unmanaged/abandoned,#N/A,#N/A,1890-1990,,,,,P8-cover crop-Cover Mix,4.9,,Commercial veg/fruits,Synthetic blend,,,,,,,,,,Disc,Other,No,No,Surface Drip,Plastic Mulch,Tantalus,,,,PIAL,,Andisol,Dystrudept,Aquept/Humolt,LAC,,1.41,422.597,23.03,36.86,4.38,5.4,1560.6,118.54,46.3011,0.35,0.59,0.37,0.03,#N/A,,,#N/A,,#N/A,#N/A,#N/A,,12.79310345,733.6850138,6.00,,,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit#gid=2114689344,3/9/2022,scoring_function_noPIALv2,,,106,,#N/A,401,,,,,,,,,,,,,,,21.019867,-155.772877
654,Hannah Hubanks,,,,,325,2017-3,011-0126-2024-0456,0,15,05/12/2023,Big Island,,2,Cropland,2022-2024,Protected forest,Pineapple or sugarcane plantation,Pineapple or sugarcane plantation,1850-1950,,,,,25,2,Commercial veg/fruits,No Change,Synthetic blend,"500-1,000 lb/ac/yr",,,,,,,,#VALUE!,Roto,Other,Yes,Yes,None,Plastic Mulch,Panaewa,,,Conventional cropland,None,,Ultisol,Haplustoll,,LAC,,4.54,99.4,140.288147,38.85,48.25,8.16,287,110.34,22.13,0.34,0.92,0.03,0.78,,#N/A,,0.50,0.16,#N/A,#N/A,,115.64,9.289473684,#N/A,16.55,,Done,https://docs.google.com/spreadsheets/d/1pQo3yk7sTzfCeFaGWk2K4cDxDQ7GfXOt71b2iiVU0fA/edit#gid=2114689344,3/9/2022,1.17,38,,,,,,,,,,,,,,,,,,,11_CIG_OnFarmTrials/CIG_HSH_SoilHealthDataAnalysis_ ANDIC_(PNCM_HIST).xlsx,21.762078,-155.132328
191,CIG-2020,,,,,2023-0484,2017-4,011-0074-2024-0277,0,15,11-04-18,Kauai,,128,Unmanaged forest,Agroforestry,2019-,1941-1993,,,,,,,HT87 Control 1,60,Agroforestry,calisia repens,Synthetic blend- liquid,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,,,,None,More than twice,No,No,None,Plastic Mulch,Lualualei,,,Conventional cropland,,,Mollisol,Haplustand,,HAC,,8.56,290.958,103.3129436,57.19,6.21,7,527.01,68.3,0.3695291658,0.43,0.29,0.73,0.46,1.09,,24.86,0.00,,,#N/A,#N/A,110.04,9.92,52.2997938,12.07,,Done,,3/9/2022,scoring_function_noPIALv2,10/15/2024,,28,,1930,,,0.68,,368,,,467,,,,#REF!,,,,21.847026,-156.324140
847,SSH,,,,Lease,256,2017-5,002-0019-2019-0125,0,15,1/24/2022,Puerto Rico,,10 acres,Orchard,,,,,,,1870-1920,,,Ho Farm Avocado Control 1 sieved,0.044,Protected forest,Sakau,None,"500-1,000 lb/ac/yr",,,,#VALUE!,,,,#VALUE!,None,More than twice,,No,None,Weeds,Wahiawa,,,Conventional cropland,PIAL,,Andisol,,Udept,PNCM,,13.54,129.4,42.36,49.13,,5.28,1374.34,60.72,33.00,0.35,,0.54,0.53,#N/A,40.77289357,0.02,#N/A,0.79,#N/A,#N/A,#N/A,35.48,6.77,#N/A,5.39,,,https://docs.google.com/spreadsheets/d/1Np0Y3iAEhm6-GNKOSwj9RX2QTLV2pPRinpDexcJ18vM/edit#gid=1076234647,7.8,scoring_function_noPIALv2,22,,,2414,,574,,,,,,,496,,,,,,,,19.433531,-158.779412
2029,UROP-2019,Round 1,,,,2023-0152,2017-6,011-0011-2025-0021,0,15,07/20/2022,Oahu,,5,Protected forest,2012 to present,Agroforestry,,Unmanaged/abandoned,1856-1941,,,,,120,5 acres,Orchard/tree crop,Protected forest,Synthetic blend,,,,,,,,,,Roto,,Yes,No,None,"Living mulch, Mulch (woodchip, leaf litter, other organic material), Weed mat",Pulehu,,,Mixed,PIAL,,Inceptisol,Haplustoll,Ustoll,LAC,,8.81,23.02,84.84,20.42,,7.32,842.73,102.39,2.12,0.98,0.66,0.96,0.82,0.9452,45.50,,1.00,0.53,#N/A,,#N/A,,9.71,7.941689428,7.16,,,29.63,3/9/2022,1.06,10/15/2024,,#N/A,,2687,,,,,,#N/A,,#N/A,,,,,,,,20.998703,-154.962896
1570,ORCD,,,,Own,2025-0031,2017-7,008-0023-2020-0385,70,15,6/20/19,Oahu,,,Cropland,2020- present,Unmanaged forest,1835-1970,Pasture,#N/A,,,,,P5-Cover Crop,,,,Synthetic blend,,,,,#VALUE!,,,,,,Other,No,No,Sprinkle,,Wahiawa,,,Conventional cropland,None,,Vertisol,Gypitorrert,Udox,HIST,,1.97,86.36,25.63,10.57,111.4,6.69,159,109.68,3.25,0.14,0.73,0.67,0.84,,59.97303497,,#N/A,1.11,,86.66796473,#N/A,28.15,9.05,#N/A,21.59,,,#N/A,7.6,scoring_function_noPIALv2,10/15/2024,,,,,,,0.84,,,#N/A,,,,,1.5,,77,,,21.989771,-155.097136
1075,UROP-2019,,,,,544,2017-8,007-0030-2019-0244,0,15,11/27/2023,Oahu,,60,Agroforestry,2017-current,Unmanaged/abandoned ag land,,#N/A,,,,,,Plot 16 control 4,1 acre,Nothing/bare fallow,Row crop monoculture,Synthetic blend,,,,,,,#VALUE!,,,None,,No,No,Surface Drip,Bare soil & grassland cover,Olinda,,,Mixed conventional and organic,None,,Oxisol,Haplustert,Torrert,HAC,,1.41,21.520,20.79,10.13,50.22,6.83,449.38,65.95,,#N/A,0.21,,0.49,0.52,#N/A,14.33,2.00,0.62,,34.32437863,#N/A,197.45,8.705882353,#N/A,1.94,#REF!,Done,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit#gid=2114689344,,0.33,10/15/2024,,103,,,,80,,,,,,,,19.5,,,,,,20.908935,-156.093010
1372,AFRI-Puerto Rico,,,,Other,2022-0005,2017-9,011-0011-2024-0020,0,15,05/05/2023,Oahu,,22.8,Unmanaged forest,2006- present,Unmanaged forest,#N/A,Unmanaged/abandoned,,,NA,,,5-1,0.8 ac,Protected forest,,Compost,1-5 tons/ac/yr,,#VALUE!,,,,,,,Mulboard,,,No,None,"Mulch (woodchip, leaf litter, other organic material)",Alapai,,,Mixed,PIAL,,Oxisol,,,LAC,,7.71,,25.26,49.91,5.12,6.18,,96.8,0.84,#N/A,0.26,0.78,#N/A,1.02,,,#N/A,0.3,43.79,13.58749038,24.45,30.24,6.8125,5.468493458,5.8,,,https://docs.google.com/spreadsheets/d/1v-gX-zrJah2fKYf8qvFhXk_jvuS8YSDcctUnHklNBGU/edit#gid=364531522,3/9/2022,scoring_function_noPIALv2,7,,#N/A,,,,,1.07,73,,12.57,#N/A,,,,,,,,,22.051935,-159.954446
