,,,,,,,,,cm,,Month/day/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,μg C/g soil,umol/g soil or nmol/g soil/hr,,ug NH4-N/g soil        ,Scale 0-14,μg C/g soil,%,,,,,,g/cc,%,,,%,ugN/g soil,,,μg N/g soil,Ratio,,ug NH4-N/g soil,,Status,Project links,Timestamp,,
Intake_number,primary_project,secondary_project,tertiary_project,sampling_round,land_ownership,old_SH_1,SH_1,barcode,depth_top ,depth_bottom ,date_sampled,island,site_name,treatment,site_number,current_land_use,years_under_current_land_use,most_previous_land_use,years_under_most_previous _land_use,additional_previous _land_use ,years_under_additional_previous _land_use,additional_previous_land_use_2,years_under_additional_previous_land_use_2,additional_previous_land_use_3,years_under_additional_previous_land_use_3,plot_name,plot_area,current_plant_cover,previous_crop_cover,fertilizer_type_1,fertilizer_rate_1,fertilizer_type_2,fertilizer_rate_2,fertilizer_type_3,fertilizer_rate_3,fertilizer_type_4,fertilizer_rate_4,fertilizer_type_5,fertilizer_rate_5,tillage,tillage_frequency,herbicide,pesticide,irrigation_type,additional_soil_cover,soil_series,latitude,longitude,mean_annual_precip,mean_annual_temp,management_category,PIAL_none,dist_level,order,great_group,suborder,minerals,texture,toc,co2_burst,beta_glucosidase,beta_glucosaminidase,pmn,ph,hwec,whc,wsa_mega,shs,cdf_factor1,cdf_factor2,cdf_factor3,bd,wsa_macro,weight_of_rocks_>2mm,volume_of_rocks_>2mm_mL,tn,tdn,din,don,hwen,c_n,doc_don,ammonium,assessment,status,hyperlinks,Last updated,scoring_function,scoring_date
38,Hannah Hubanks,,,,,2023-0141,2017-1,011-0281-2024-0058,0,15,11-21-20,Ant,Synthetic Ant Site 180,,61,Unmanaged/abandoned,1975-2024,Pineapple or sugarcane plantation,,,#N/A,,,,,HR Plot 5 Sample 9,,Unmanaged forest,,None,none,,,,#VALUE!,,#VALUE!,,,None,Other,Yes,No,None,Weeds,Pulehu,20.397568,-156.988819,,,Conventional cropland,PIAL,Low,Andisol,Haplustand,Ustept,HAC,,8.36,,90.08,47.84,4.22,6.32,139.9313246,102.22,21.57,,0.40,#N/A,#N/A,1.17,,#N/A,0.00,,#N/A,#N/A,#N/A,20.61,10.75581395,#N/A,18.62,,Done,,7.6,scoring_function_noPIALv2,15
554,CIG-2020,Round 1,,,,231,2017-2,008-0204-2023-0361,0,15,5/17/2023,Pohnpei,Synthetic Pohnpei Site 025,,1.39,Cropland,2017-2021,Cropland,#N/A,Pineapple or sugarcane plantation,,,,,,Aloun Carbon Addition 5,,Nothing/bare fallow,Cover crop/legumes,,,,,,,,,,,None,More than twice,Yes,No,Surface Drip,Weeds,Waialua,20.154851,-158.796517,,,Pasture,None,,Ultisol,,,HAC,,6.31,29.13,37.72,123.75,276.95,7.87,253.05,77.93,0.98,0.20,0.14,0.64,,0.89,,4.45,1.00,0.17,,#N/A,0.06,83.83,11.45,#N/A,9.11,,Done,,10/4/2023,0.7,10/15/2024
654,Hannah Hubanks,,,,,325,2017-3,011-0126-2024-0456,0,15,05/12/2023,Big Island,Synthetic Big Island Site 887,,7,Unmanaged/abandoned ag land,Continuous,Pig farming,1994-2013,,,,,,,Lot 16 compost 1,5,Orchard/tree crop,Orchard/tree crop,Synthetic blend,,,,,,,,,,None,More than twice,No,No,Surface Drip,"Mulch (woodchip, leaf litter, other organic material)",Makiki,19.061572,-158.387884,,,Agroforestry,PIAL,high,Oxisol,,Aquept/Humolt,PNCM,,6.07,75.63,77.61,12.47,157.35,5.78,248.38,118.54,0.00,0.53,,0.76,,1.12,24.20,4.48,#N/A,0.39,61.42,5.24615723,#N/A,127.55,8.196078431,#N/A,,,,17.11,7/9/2024,scoring_function_noPIALv2,10/15/2024
191,CIG-2020,,,,,2023-0484,2017-4,011-0074-2024-0277,0,15,11-04-18,Kauai,Synthetic Kauai Site 890,,128,Unmanaged forest,Agroforestry,Unmanaged forest,,,#N/A,,,,,Haleakala Ranch Silvopasture 1,,Cover crop/legumes- calisia repens,Weeds/Unmanaged,Synthetic blend,,,,,,,,,,Disc,Yearly,No,Yes,Surface Drip,Weed Mat,Pulehu,22.094020,-159.675704,,,Conventional cropland,None,,Vertisol,Hydrudand,Udand,LAC,,5.14,56.32,55.6,54.0978387,6.62,8.59,481.87,84.15,37.71,0.72,0.40,0.03,0.59,1.18,,,0.50,0.89,#N/A,#N/A,1.39,108,10.17647059,#N/A,79.52,,Done,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,3/9/2022,1.02,10/15/2024
847,SSH,,,,Lease,256,2017-5,002-0019-2019-0125,0,15,1/24/2022,Puerto Rico,Synthetic Puerto Rico Site 030,,1,Protected forest,,Managed forest,,,#N/A,Cattle ranching,,,,8-4,,Sakau,Unmanaged forest,Synthetic blend,,,,,,,,,,Disc,Other,Yes,No,None,Plastic Mulch,Makiki,21.837398,-158.827830,,,Protected forest,PIAL,,Mollisol,Endoaquept,Ustand,LAC,,2.75,,73.51,54.61,1.54,6.46,235.97,,10.88871353,0.45,0.65,#N/A,0.02,,48.57,3.82,0.75,0.8,#N/A,#N/A,#N/A,367,10.33,#N/A,12.64,,Done,37.27,,,11
2029,UROP-2019,Round 1,,,,2023-0152,2017-6,011-0011-2025-0021,0,15,07/20/2022,Oahu,Synthetic Oahu Site 396,,23,Orchard,2020-current,Cropland,,Pasture,,,NA,,,123,,Agroforestry,Commercial veg/fruits,None,,,,,,,,,,,More than twice,No,No,None,Bare soil,Lualualei,21.549100,-158.135490,,,Unmanaged forest,PIAL,,Oxisol,Palehumult,Ustept,HAC,,3.93,,261.65,52.26,20.26,8.33,3087.49,114.41,52.62,0.82,0.54,0.28,,1.21,81.85433955,0.09,,0.44,81.79,#DIV/0!,8.92,25.07,13.17,#N/A,4.29,,,,,#N/A,10/15/2024
1570,ORCD,,,,Own,2025-0031,2017-7,008-0023-2020-0385,70,15,6/20/19,Oahu,Synthetic Oahu Site 033,,5,Cropland,2013-current,Pineapple or sugarcane plantation,1976-2016,#N/A,,,,,,,,Orchard/tree crop,Forage,None,,,,,,,,,,None,,No,Yes,None,Bare soil,Pulehu,21.253683,-157.653560,,,Conventional,PIAL,,Histosol,Paleustoll,Ustoll,LAC,,3.80,67.55,47.14,11.25,67.5,5.75,250.00,80.86,14.85602553,0.70,,0.52,0.55,,#N/A,#N/A,#N/A,0.10,#N/A,#N/A,#N/A,82.07,11.05555556,,1.95,,Done,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=1076234646,3/9/2022,scoring_function_noPIALv2,10/15/2024
1075,UROP-2019,,,,,544,2017-8,007-0030-2019-0244,0,15,11/27/2023,Oahu,Synthetic Oahu Site 482,#N/A,18,Orchard,2020- present,Cropland,#N/A,,,,,,,Crop rotation,0.25,Row crop monoculture,Commercial veg/fruits,None,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,,,,None,,Yes,,None,,Kaipoioi,21.647302,-157.844785,,,,PIAL,,Vertisol,Acroperox,Ustoll,HAC,,3.83,209.514,73.94,,12.27,,272.81,61.24,,0.58,0.55,0.72,0.61,1.39,61.40420385,#N/A,#N/A,1.30,#N/A,3.81373393,#N/A,14.58,14.51470588,#N/A,74.17,#REF!,,https://docs.google.com/spreadsheets/d/1Np0Y3iAEhm6-GNKOSwj9RX2QTLV2pPRinpDexcJ18vM/edit?usp=sharing,,0.81,10/15/2024
1372,AFRI-Puerto Rico,,,,Other,2022-0005,2017-9,011-0011-2024-0020,0,15,05/05/2023,Oahu,Synthetic Oahu Site 599,,0.49,Cropland,2013-current,Pasture,,,#N/A,Unmanaged/abandoned,NA,,,P2-inter croping,,Orchard/tree crop,Commercial veg/fruits,Bone/blood meal,None,,#VALUE!,,,,,,,None,,No,No,Surface Drip,Bare soil & grassland cover,Ookala,21.432415,-157.633424,,,Conventional cropland,None,,Oxisol,,Udand,,,8.41,55.036,65.08,,51.44,6.89,2273,58,23.38,#N/A,0.17,0.31,,,84.17,#N/A,#N/A,0.44,#N/A,74.36906561,92.09,157.06,7.139240506,,60.15,,Done,47.95,3/9/2022,#N/A,10/15/2024
1615,Client Projects,,cowpea,,Own,2023-0403,2017-10,008-0023-2018-0313,0,15,09/05/2024,Maui,Synthetic Maui Site 493,,,City/state park,>30 yrs,Pasture,,#N/A,,,,,,LOT 2 S1 T1,0.8,Weeds/Unmanaged,Commercial veg/fruits,Synthetic blend,,,,,,,,,,combination of chisel and disc,More than twice,No,No,None,Weeds,Halii,21.015431,-156.190295,,,Unmanaged forest,None,,Andisol,,Ustand,HAC,,1.44,88.06,89.27,53.26,9.51,7.29,314.26,94.38,,0.34,,0.47,0.63,0.63,,0.14,,0.38,116.01,6.374878456,#N/A,163.7,10.56,5.701934439,6.55,,,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=1076234646,,scoring_function_noPIALv2,10/15/2024
602,CIG-2020,Baseline,,,Lease,570,2017-11,011-0084-2024-0041,0,,2025-04-25 00:00:00,Kauai,Synthetic Kauai Site 743,,5.8,Orchard,,Unmanaged/abandoned,,,,,1950-1975,,,97,1.2,Commercial veg/fruits,No change,Synthetic blend,n/a,,,,,,,,#VALUE!,Disc,More than twice,Yes,,Sprinkle,Bare soil,Ewa,21.883503,-159.378148,,,Unmanaged forest,None,,Vertisol,,Folist,PNCM,,1.39,24.25,94.17,5.54,,,1751,124.04,4.90,0.17,1.00,0.48,0.50,,85.18,#N/A,#N/A,0.12,,2.759629269,52.38,,10.15384615,#N/A,1.14,,Done,https://docs.google.com/spreadsheets/d/1vLahl-Zrg3l4zW2P4mJ5R681o6WIAZl2fB0l5l58x-s/edit#gid=1076234646,,,
198,HICSC,,,,,2025-0032,2017-12,001-0007-2017-0032,0,15,12/12/17,Oahu,Synthetic Oahu Site 302,,128,Unmanaged/abandoned,2014-2024,Pasture,,Pineapple or sugarcane plantation,,,,vanna grass,,158,9.83,Row crop monoculture,,,,,250-500 lb/ac/yr,,250-500 lb/ac/yr,,,,,None,none,,Yes,Surface Drip,Weeds,Pulehu,21.321358,-157.991622,,,Organic cropland,PIAL,,Aridisol,Haplustoll,Perox,LAC,,,100.873,,,7.03,5.88,449.38,72.89,,0.76,0.01,0.67,0.48,,62.98,1.46,#N/A,0.65,#REF!,138.0304099,12.09,24.49477388,10.61,#N/A,83.82,,Done,,7,scoring_function_noPIALv2,10/15/2024
1345,Department of Health,Baseline,,,Lease,2023-0138,2017-13,011-0049-2023-0245,0,15,12/14/2022,Big Island,Synthetic Big Island Site 879,,,Pasture,1975-2024,Unmanaged forest,,Pineapple or sugarcane plantation,#N/A,,,,,Shai Plot 1 - Tinian Sample 10,,Forage,No change,None,0-250 lb/ac/yr,,,,,,,,,,More than twice,Yes,Yes,None,,Wahiawa,20.393419,-158.967864,,,Protected forest,,,Oxisol,,Ustoll,HAC,,11.10,193.078,63.27,32.76,,8.1,,73.7,23.26490572,0.13,,0.62,#N/A,,2.13,0.07,14.50,1.31,#N/A,#N/A,#N/A,102.88,9.315789474,14.38704172,7.64,,Done,https://docs.google.com/spreadsheets/d/16vOfuaO-7wjY4aZkgjh6N8wdHOK1Ohe130j1QIxvXms/edit?usp=sharing,7/9/2024,scoring_function_noPIALv2,21
1991,SSH,Baseline,,,,SH-WRS-61,2017-14,016-0091-2022-0180,0,15,09/30/2021,Maui,Synthetic Maui Site 363,,5.8,,1975-2024,Cropland (corn),2006-2011,,#N/A,,,,,,0.001,Forage | Unmanaged forest,,Manures,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,,,,Chisel,More than twice,Yes,No,Surface Drip,Bare soil,Lualualei,20.817357,-156.711834,,,Unmanaged forest,PIAL,,Ultisol,Endoaquept/Palehumolt,Ustand,LAC,,3.53,32.908,,,247.37,6.21,345.98,,21.46795368,0.02,0.24,#N/A,0.08,0.67,40.9,#N/A,#N/A,0.13,#N/A,#REF!,208.48,47.05,13.47,10.31023223,6.27,,Done,https://docs.google.com/spreadsheets/d/1LZuf4Ci2LUjGz_QSnXNbifluQL_BFv2FcydQN4X-T_o/edit#gid=2114689352,7.3,0.63,10/15/2024
726,CIG-2020,,,,Own,2024-0021,2017-15,,5,15,12/13/2023,Puerto Rico,Synthetic Puerto Rico Site 223,,372.45,Cropland,2019-curent,Unmanaged forest,1980-2019,Pineapple or sugarcane plantation,NA,,,vanna grass,,,4,Forage,Lawn/yard/park,None,"500-1,000 lb/ac/yr",,,,,,,,,None,,No,,None,Plastic Mulch,Wahiawa,20.857745,-158.982074,,,Conventional,PIAL,Low,Mollisol,Paleustoll,Humult,PNCM,,1.31,,67.57788791,16.26,17.23,,362.5,146.15,4.71,,0.12,0.61,#N/A,,12.46,0.06,,0.18,,,30,115,11.45,11.34262709,10.81,,Done,https://docs.google.com/spreadsheets/d/1mlqU9zH13GHF_afZSs_ju9Wjtxa9TrjZFf9XEAViy30/edit#gid=1076234657,3/9/2022,scoring_function_noPIALv2,10/15/2024
1614,ORCD,Round 1,,,Lease,2024-0505,2017-16,007-0022-2021-0491,0,,11-04-18,Oahu,Synthetic Oahu Site 802,,7,Cropland,,Cropland,1994-2013,,____-1972,Unmanaged/abandoned,,,,P11-cover crop- sogrhum sudan. Sorghum x drummondii. (Steud.),0.001,Nothing/bare fallow,Weeds/Unmanaged,Synthetic blend,,,,,,,,,,None,,,No,Surface Drip,,Lualualei,21.451167,-158.257430,,,Conventional cropland,None,,Andisol,,Humult,HAC,,18.27,240.58,27.70574803,9.37,0.47,8.51,,77.4,12.96,0.69,0.58,0.65,0.51,,,,0.00,0.19,#N/A,,7.52,53.48,,#N/A,,,Done,39.88,7/10/2024,scoring_function_noPIALv2,
1972,CIG-2020,WSARE-2019,,,Lease,2022-0187,2017-17,011-0001-2021-0664,0,,03/31/2023,Oahu,Synthetic Oahu Site 780,,4.1,Unmanaged forest,,Protected forest,1941-1993,#N/A,NA,Unmanaged/abandoned,,,,83,0.25,Orchard/tree crop,Commercial veg/fruits,None,,,,,,,,,,Disc,,No,No,,Bare soil,Consumo,21.352442,-158.144098,,,Protected forest,PIAL,,Mollisol,Hydrudand,Ustoll,HAC,,4.99,26.340,21.43,10.99,17.10,6.62,2207.29,,3.10,#N/A,0.69,0.54,,,72.74,0.44,0.00,0.07,#REF!,#N/A,#N/A,29.22,9.82,4.699575322,1.17,,,12.51,10/4/2023,0.2,12
1021,AFRI-Puerto Rico,,,,Own,SH-WRS-64,2017-18,011-0022-2023-0029,0,15,10/30/2024,Oahu,Synthetic Oahu Site 788,,1,Cropland,1950-2019,Unmanaged forest,#N/A,Pineapple or sugarcane plantation,,,,,,HD3A,60,Nothing/bare fallow,No change,None,,,,,,,#VALUE!,,,None,,,Yes,None,"Mulch (woodchip, leaf litter, other organic material)",Hanalei,21.699826,-157.733809,,,Unmanaged forest,PIAL,,Mollisol,Haplustand,Udand,LAC,,12.80,235.626,,,,8.35,315.79,,3.08,#N/A,0.55,#N/A,0.45,0.70,,0.68,,1.64,#N/A,0,#N/A,138.05,9.526315789,5.175207953,36.74,,Done,https://docs.google.com/spreadsheets/d/1qDjNW0YIq46KWS11xkO2oLj7US4pomIO3bi64RSodNQ/edit#gid=2114689344,3/9/2022,scoring_function_noPIALv2,22
1303,HICSC,Carbon Smart Puu o Hoku 1,,,Own,2023-0311,2017-19,024-0263-2023-0479,0,15,9/23/2019,Puerto Rico,Synthetic Puerto Rico Site 297,,561.19,Cropland,2005-2021,Pineapple or sugarcane plantation,1835-1970,,,Unmanaged/abandoned,,,,8-1,.008 Acres,Other | Weeds/Unmanaged,Protected forest,None,,,#VALUE!,,,,,,,Roto,More than twice,No,,Surface Drip,"Mulch (woodchip, leaf litter, other organic material)",Pulehu,20.694246,-158.992050,,,Does not apply,None,,Vertisol,Haplustand,Udept,HAC,,2.31,31.1276,,60.58,135.32,6.39,1450.16,66.1,17.03,0.67,#N/A,0.21,0.65,,#N/A,2.23,,0.17,68.75,#N/A,#N/A,,12.51824818,4.376398221,21.54,,Done,,,scoring_function_noPIALv2,10/15/2024
