Intake_number,primary_project,secondary_project,tertiary_project,sampling_round,land_ownership,old_SH_1,SH_1,barcode,depth_top,depth_bottom,date_sampled,island,site_name,treatment,site_number,current_land_use,years_under_current_land_use,most_previous_land_use,years_under_most_previous _land_use,additional_previous _land_use,years_under_additional_previous _land_use,additional_previous_land_use_2,years_under_additional_previous_land_use_2,additional_previous_land_use_3,years_under_additional_previous_land_use_3,plot_name,plot_area,current_plant_cover,previous_crop_cover,fertilizer_type_1,fertilizer_rate_1,fertilizer_type_2,fertilizer_rate_2,fertilizer_type_3,fertilizer_rate_3,fertilizer_type_4,fertilizer_rate_4,fertilizer_type_5,fertilizer_rate_5,tillage,tillage_frequency,herbicide,pesticide,irrigation_type,additional_soil_cover,soil_series,latitude,longitude,mean_annual_precip,mean_annual_temp,management_category,PIAL_none,dist_level,order,great_group,suborder,minerals,texture,toc,co2_burst,beta_glucosidase,beta_glucosaminidase,pmn,ph,hwec,whc,wsa_mega,v2_shs_cdf,v2_shs_raw,v2_factor1_cdf,v2_factor1_raw,v2_factor2_cdf,v2_factor2_raw,v2_factor3_cdf,v2_factor3_raw,v4_shs_cdf,v4_shs_raw,v4_factor1_cdf,v4_factor1_raw,v4_factor2_cdf,v4_factor2_raw,v4_factor3_cdf,v4_factor3_raw,bd,wsa_macro,weight_of_rocks_>2mm,volume_of_rocks_>2mm_mL,tn,tdn,din,don,hwen,c_n,doc_don,ammonium,assessment,status,hyperlinks,Last updated
900001,Synthetic Agroforestry Time Series,Demonstration Block,Tree Crop Transition,Timepoint 1,Synthetic,SYN-OLD-0001,SYN-0001,SYN-01-01-01-0001,0,15,2026-01-15,Oahu,Synthetic North Shore Learning Farm,Mulch plus compost,SYN-NS-01,Agroforestry,1,Cropland,10,,,,,,,AF-01,100,Perennial fruit tree alley,Synthetic baseline cover,Compost,2 tons/ac,,,,,,,,,None,None,No,No,Drip,Mulch,Synthetic Waialua,21.586800,-158.104800,920.0,23.5,Mixed conventional and organic cropland,None,,Mollisol,Haplustoll,Ustoll,HAC,Clay loam,2.720,182.000,66.900,24.400,37.100,6.070,395.000,47.900,23.000,0.390000,-0.400,0.410000,-0.350,0.375000,-0.290,0.360000,-0.590,0.419000,-0.350,0.437000,-0.280,0.407000,-0.240,0.394000,-0.520,1.085,40.000,0.800,1.660,0.185,22.900,5.300,17.300,31.900,11.450,19.600,3.750,Synthetic example,Synthetic,,2026-07-09
900002,Synthetic Agroforestry Time Series,Demonstration Block,Tree Crop Transition,Timepoint 2,Synthetic,SYN-OLD-0002,SYN-0002,SYN-01-01-02-0002,0,15,2026-04-15,Oahu,Synthetic North Shore Learning Farm,Mulch plus compost,SYN-NS-01,Agroforestry,2,Cropland,10,,,,,,,AF-01,100,Perennial fruit tree alley,Synthetic baseline cover,Compost,2 tons/ac,,,,,,,,,None,None,No,No,Drip,Mulch,Synthetic Waialua,21.586800,-158.104800,920.0,23.5,Mixed conventional and organic cropland,None,,Mollisol,Haplustoll,Ustoll,HAC,Clay loam,2.900,193.000,70.100,25.900,39.100,6.100,413.000,49.000,24.400,0.425000,-0.310,0.445000,-0.270,0.410000,-0.220,0.395000,-0.530,0.459000,-0.250,0.477000,-0.190,0.447000,-0.160,0.434000,-0.450,1.075,41.200,0.840,1.740,0.195,24.000,5.600,18.100,33.100,11.400,19.800,3.900,Synthetic example,Synthetic,,2026-07-09
900003,Synthetic Agroforestry Time Series,Demonstration Block,Tree Crop Transition,Timepoint 3,Synthetic,SYN-OLD-0003,SYN-0003,SYN-01-01-03-0003,0,15,2026-07-15,Oahu,Synthetic North Shore Learning Farm,Mulch plus compost,SYN-NS-01,Agroforestry,3,Cropland,10,,,,,,,AF-01,100,Perennial fruit tree alley,Synthetic baseline cover,Compost,2 tons/ac,,,,,,,,,None,None,No,No,Drip,Mulch,Synthetic Waialua,21.586800,-158.104800,920.0,23.5,Mixed conventional and organic cropland,None,,Mollisol,Haplustoll,Ustoll,HAC,Clay loam,3.080,204.000,73.300,27.400,41.100,6.130,431.000,50.100,25.800,0.460000,-0.220,0.480000,-0.190,0.445000,-0.150,0.430000,-0.470,0.499000,-0.150,0.517000,-0.100,0.487000,-0.080,0.474000,-0.380,1.065,42.400,0.880,1.820,0.205,25.100,5.900,18.900,34.300,11.350,20.000,4.050,Synthetic example,Synthetic,,2026-07-09
900004,Synthetic Agroforestry Time Series,Demonstration Block,Tree Crop Transition,Timepoint 4,Synthetic,SYN-OLD-0004,SYN-0004,SYN-01-01-04-0004,0,15,2026-10-15,Oahu,Synthetic North Shore Learning Farm,Mulch plus compost,SYN-NS-01,Agroforestry,4,Cropland,10,,,,,,,AF-01,100,Perennial fruit tree alley,Synthetic baseline cover,Compost,2 tons/ac,,,,,,,,,None,None,No,No,Drip,Mulch,Synthetic Waialua,21.586800,-158.104800,920.0,23.5,Mixed conventional and organic cropland,None,,Mollisol,Haplustoll,Ustoll,HAC,Clay loam,3.260,215.000,76.500,28.900,43.100,6.160,449.000,51.200,27.200,0.495000,-0.130,0.515000,-0.110,0.480000,-0.080,0.465000,-0.410,0.539000,-0.050,0.557000,-0.010,0.527000,0.000,0.514000,-0.310,1.055,43.600,0.920,1.900,0.215,26.200,6.200,19.700,35.500,11.300,20.200,4.200,Synthetic example,Synthetic,,2026-07-09
900005,Synthetic Agroforestry Time Series,Demonstration Block,Tree Crop Transition,Timepoint 1,Synthetic,SYN-OLD-0005,SYN-0005,SYN-01-02-01-0005,0,15,2026-01-15,Oahu,Synthetic North Shore Learning Farm,Mulch only,SYN-NS-01,Agroforestry,1,Cropland,10,,,,,,,AF-02,100,Perennial fruit tree alley,Synthetic baseline cover,None,0,,,,,,,,,None,None,No,No,Drip,Mulch,Synthetic Waialua,21.587600,-158.105600,920.0,23.5,Mixed conventional and organic cropland,None,,Mollisol,Haplustoll,Ustoll,HAC,Clay loam,2.810,188.000,68.600,25.300,38.200,6.110,407.000,48.700,23.600,0.405000,-0.370,0.425000,-0.330,0.390000,-0.270,0.375000,-0.570,0.433000,-0.320,0.451000,-0.260,0.421000,-0.220,0.408000,-0.500,1.100,40.800,0.860,1.740,0.190,23.700,5.500,17.800,32.600,11.550,19.800,3.850,Synthetic example,Synthetic,,2026-07-09
900006,Synthetic Agroforestry Time Series,Demonstration Block,Tree Crop Transition,Timepoint 2,Synthetic,SYN-OLD-0006,SYN-0006,SYN-01-02-02-0006,0,15,2026-04-15,Oahu,Synthetic North Shore Learning Farm,Mulch only,SYN-NS-01,Agroforestry,2,Cropland,10,,,,,,,AF-02,100,Perennial fruit tree alley,Synthetic baseline cover,None,0,,,,,,,,,None,None,No,No,Drip,Mulch,Synthetic Waialua,21.587600,-158.105600,920.0,23.5,Mixed conventional and organic cropland,None,,Mollisol,Haplustoll,Ustoll,HAC,Clay loam,2.990,199.000,71.800,26.800,40.200,6.140,425.000,49.800,25.000,0.440000,-0.280,0.460000,-0.250,0.425000,-0.200,0.410000,-0.510,0.473000,-0.220,0.491000,-0.170,0.461000,-0.140,0.448000,-0.430,1.090,42.000,0.900,1.820,0.200,24.800,5.800,18.600,33.800,11.500,20.000,4.000,Synthetic example,Synthetic,,2026-07-09
900007,Synthetic Agroforestry Time Series,Demonstration Block,Tree Crop Transition,Timepoint 3,Synthetic,SYN-OLD-0007,SYN-0007,SYN-01-02-03-0007,0,15,2026-07-15,Oahu,Synthetic North Shore Learning Farm,Mulch only,SYN-NS-01,Agroforestry,3,Cropland,10,,,,,,,AF-02,100,Perennial fruit tree alley,Synthetic baseline cover,None,0,,,,,,,,,None,None,No,No,Drip,Mulch,Synthetic Waialua,21.587600,-158.105600,920.0,23.5,Mixed conventional and organic cropland,None,,Mollisol,Haplustoll,Ustoll,HAC,Clay loam,3.170,210.000,75.000,28.300,42.200,6.170,443.000,50.900,26.400,0.475000,-0.190,0.495000,-0.170,0.460000,-0.130,0.445000,-0.450,0.513000,-0.120,0.531000,-0.080,0.501000,-0.060,0.488000,-0.360,1.080,43.200,0.940,1.900,0.210,25.900,6.100,19.400,35.000,11.450,20.200,4.150,Synthetic example,Synthetic,,2026-07-09
900008,Synthetic Agroforestry Time Series,Demonstration Block,Tree Crop Transition,Timepoint 4,Synthetic,SYN-OLD-0008,SYN-0008,SYN-01-02-04-0008,0,15,2026-10-15,Oahu,Synthetic North Shore Learning Farm,Mulch only,SYN-NS-01,Agroforestry,4,Cropland,10,,,,,,,AF-02,100,Perennial fruit tree alley,Synthetic baseline cover,None,0,,,,,,,,,None,None,No,No,Drip,Mulch,Synthetic Waialua,21.587600,-158.105600,920.0,23.5,Mixed conventional and organic cropland,None,,Mollisol,Haplustoll,Ustoll,HAC,Clay loam,3.350,221.000,78.200,29.800,44.200,6.200,461.000,52.000,27.800,0.510000,-0.100,0.530000,-0.090,0.495000,-0.060,0.480000,-0.390,0.553000,-0.020,0.571000,0.010,0.541000,0.020,0.528000,-0.290,1.070,44.400,0.980,1.980,0.220,27.000,6.400,20.200,36.200,11.400,20.400,4.300,Synthetic example,Synthetic,,2026-07-09
900009,Synthetic Agroforestry Time Series,Demonstration Block,Tree Crop Transition,Timepoint 1,Synthetic,SYN-OLD-0009,SYN-0009,SYN-01-03-01-0009,0,15,2026-01-15,Oahu,Synthetic North Shore Learning Farm,Control,SYN-NS-01,Agroforestry,1,Cropland,10,,,,,,,AF-03,100,Annual vegetable strip,Synthetic baseline cover,None,0,,,,,,,,,None,None,No,No,Drip,Living cover,Synthetic Waialua,21.588400,-158.106400,920.0,23.5,Mixed conventional and organic cropland,None,,Mollisol,Haplustoll,Ustoll,HAC,Clay loam,2.900,194.000,70.300,26.200,39.300,6.150,419.000,49.500,24.200,0.420000,-0.340,0.440000,-0.310,0.405000,-0.250,0.390000,-0.550,0.447000,-0.290,0.465000,-0.240,0.435000,-0.200,0.422000,-0.480,1.115,41.600,0.920,1.820,0.195,24.500,5.700,18.300,33.300,11.650,20.000,3.950,Synthetic example,Synthetic,,2026-07-09
900010,Synthetic Agroforestry Time Series,Demonstration Block,Tree Crop Transition,Timepoint 2,Synthetic,SYN-OLD-0010,SYN-0010,SYN-01-03-02-0010,0,15,2026-04-15,Oahu,Synthetic North Shore Learning Farm,Control,SYN-NS-01,Agroforestry,2,Cropland,10,,,,,,,AF-03,100,Annual vegetable strip,Synthetic baseline cover,None,0,,,,,,,,,None,None,No,No,Drip,Living cover,Synthetic Waialua,21.588400,-158.106400,920.0,23.5,Mixed conventional and organic cropland,None,,Mollisol,Haplustoll,Ustoll,HAC,Clay loam,3.080,205.000,73.500,27.700,41.300,6.180,437.000,50.600,25.600,0.455000,-0.250,0.475000,-0.230,0.440000,-0.180,0.425000,-0.490,0.487000,-0.190,0.505000,-0.150,0.475000,-0.120,0.462000,-0.410,1.105,42.800,0.960,1.900,0.205,25.600,6.000,19.100,34.500,11.600,20.200,4.100,Synthetic example,Synthetic,,2026-07-09
